Time (s)	Speed (m/s)
0.05	0.69
0.10	1.22
0.15	1.61
0.20	1.90
0.25	2.12
0.30	2.28
0.35	2.41
0.40	2.50
0.45	2.57
0.50	2.62
0.55	2.66
0.60	2.69
0.65	2.71
0.70	2.73
0.75	2.74
0.80	2.75
0.85	2.76
0.90	2.76
0.95	2.77
1.00	2.77
1.05	2.77
1.10	2.77
1.15	2.77
1.20	2.77
1.25	2.78
1.30	2.78
1.35	2.78
1.40	2.78
1.45	2.78
1.50	2.78
1.55	2.78
1.60	2.78
1.65	2.78
1.70	2.78
1.75	2.78
1.80	2.78
1.85	2.78
1.90	2.78
1.95	2.78
2.00	2.78
2.05	2.78
2.10	2.78
2.15	2.78
2.20	2.78
2.25	2.78
2.30	2.78
2.35	2.78
2.40	2.78
2.45	2.78
2.50	2.78
2.55	2.78
2.60	2.78
2.65	2.78
2.70	2.78
2.75	2.78
2.80	2.78
2.85	2.78
2.90	2.78
2.95	2.78
3.00	2.78
3.05	2.78
3.10	2.78
3.15	2.78
3.20	2.78
3.25	2.78
3.30	2.78
3.35	2.78
3.40	2.78
3.45	2.78
3.50	2.78
3.55	2.78
3.60	2.78
3.65	2.78
3.70	2.78
3.75	2.78
3.80	2.78
3.85	2.78
3.90	2.78
3.95	2.78
4.00	2.78
4.05	2.78
4.10	2.78
4.15	2.78
4.20	2.78
4.25	2.78
4.30	2.78
4.35	2.78
4.40	2.78
4.45	2.78
4.50	2.78
4.55	2.78
4.60	2.78
4.65	2.78
4.70	2.78
4.75	2.78
4.80	2.78
4.85	2.78
4.90	2.78
4.95	2.78
5.00	2.78
5.05	2.78
5.10	2.78
5.15	2.78
5.20	2.78
5.25	2.78
5.30	2.78
5.35	2.78
5.40	2.78
5.45	2.78
5.50	2.78
5.55	2.78
5.60	2.78
5.65	2.78
5.70	2.78
5.75	2.78
5.80	2.78
5.85	2.78
5.90	2.78
5.95	2.78
6.00	2.78
6.05	2.78
6.10	2.78
6.15	2.78
6.20	2.78
6.25	2.78
6.30	2.78
6.35	2.78
6.40	2.78
6.45	2.78
6.50	2.78
6.55	2.78

Overshoot: -0.00%
Rise Time: 0.45 s
Settling Time: 0.70 s
Steady-State Error: 0.00 m/s
